"Feature","Value"
"ADC_log-sigma-3-0-mm-3D_firstorder_Entropy",0.931063568
"ADC_log-sigma-3-0-mm-3D_firstorder_InterquartileRange",0.475475119
"ADC_log-sigma-3-0-mm-3D_firstorder_Kurtosis",2.492298782
"ADC_log-sigma-3-0-mm-3D_firstorder_Maximum",0.688872397
"ADC_log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation",0.267652209
"ADC_log-sigma-3-0-mm-3D_firstorder_Mean",-0.155242763
"ADC_log-sigma-3-0-mm-3D_firstorder_Median",-0.144580357
"ADC_log-sigma-3-0-mm-3D_firstorder_Minimum",-1.099507809
"ADC_log-sigma-3-0-mm-3D_firstorder_Range",1.788380206
"ADC_log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation",0.194913236
"ADC_log-sigma-3-0-mm-3D_firstorder_RootMeanSquared",0.360838257
"ADC_log-sigma-3-0-mm-3D_firstorder_Skewness",-0.156579685
"ADC_log-sigma-3-0-mm-3D_firstorder_TotalEnergy",2459.297832
"ADC_log-sigma-3-0-mm-3D_firstorder_Uniformity",0.547017027
"ADC_log-sigma-3-0-mm-3D_firstorder_Variance",0.106103932
"ADC_log-sigma-3-0-mm-3D_glcm_Autocorrelation",1.894614909
"ADC_log-sigma-3-0-mm-3D_glcm_JointAverage",1.316892353
"ADC_log-sigma-3-0-mm-3D_glcm_ClusterProminence",1.010670351
"ADC_log-sigma-3-0-mm-3D_glcm_ClusterShade",0.509793395
"ADC_log-sigma-3-0-mm-3D_glcm_ClusterTendency",0.753513821
"ADC_log-sigma-3-0-mm-3D_glcm_Contrast",0.112124302
"ADC_log-sigma-3-0-mm-3D_glcm_Correlation",0.740460891
"ADC_log-sigma-3-0-mm-3D_glcm_DifferenceAverage",0.112124302
"ADC_log-sigma-3-0-mm-3D_glcm_DifferenceEntropy",0.502107958
"ADC_log-sigma-3-0-mm-3D_glcm_DifferenceVariance",0.099002108
"ADC_log-sigma-3-0-mm-3D_glcm_JointEnergy",0.46817883
"ADC_log-sigma-3-0-mm-3D_glcm_JointEntropy",1.389312915
"ADC_log-sigma-3-0-mm-3D_glcm_Imc1",-0.45714757
"ADC_log-sigma-3-0-mm-3D_glcm_Imc2",0.745007228
"ADC_log-sigma-3-0-mm-3D_glcm_Idm",0.943937849
"ADC_log-sigma-3-0-mm-3D_glcm_Idmn",0.97757514
"ADC_log-sigma-3-0-mm-3D_glcm_Id",0.943937849
"ADC_log-sigma-3-0-mm-3D_glcm_Idn",0.962625233
"ADC_log-sigma-3-0-mm-3D_glcm_InverseVariance",0.112124302
"ADC_log-sigma-3-0-mm-3D_glcm_MaximumProbability",0.627045496
"ADC_log-sigma-3-0-mm-3D_glcm_SumEntropy",1.277188613
"ADC_log-sigma-3-0-mm-3D_glcm_SumSquares",0.216409531
"ADC_log-sigma-3-0-mm-3D_gldm_DependenceEntropy",4.215193936
"ADC_log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity",3443.802626
"ADC_log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized",0.182327543
"ADC_log-sigma-3-0-mm-3D_gldm_GrayLevelNonUniformity",10332.0576
"ADC_log-sigma-3-0-mm-3D_gldm_GrayLevelVariance",0.226491487
"ADC_log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis",2.040025413
"ADC_log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis",511.4797755
"ADC_log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis",907.9988352
"ADC_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis",412.3500106
"ADC_log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis",0.739993647
"ADC_log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity",1874.358961
"ADC_log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized",0.508327563
"ADC_log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance",0.245836218
"ADC_log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis",2.69129878
"ADC_log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis",57.00264337
"ADC_log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis",89.342349
"ADC_log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis",48.91771696
"ADC_log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis",0.577175305
"ADC_log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity",460.7372991
"ADC_log-sigma-3-0-mm-3D_glrlm_RunVariance",26.0696961
"ADC_log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis",2.5
"ADC_log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis",48431728.5
"ADC_log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis",80441964
"ADC_log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis",40429169.63
"ADC_log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis",0.625
"ADC_log-sigma-3-0-mm-3D_glszm_ZoneVariance",26134444.5
"ADC_log-sigma-3-0-mm-3D_ngtdm_Coarseness",0.000959644
"ADC_log-sigma-3-0-mm-3D_ngtdm_Complexity",0.110340212
"ADC_log-sigma-3-0-mm-3D_ngtdm_Contrast",0.025214089
"ADC_log-sigma-3-0-mm-3D_ngtdm_Strength",0.000951158
"ADC_log-sigma-4-0-mm-3D_firstorder_10Percentile",-0.738897175
"ADC_log-sigma-4-0-mm-3D_firstorder_90Percentile",0.206693938
"ADC_log-sigma-4-0-mm-3D_firstorder_Energy",3628.354647
"ADC_log-sigma-4-0-mm-3D_firstorder_Entropy",0.842620051
"ADC_log-sigma-4-0-mm-3D_firstorder_InterquartileRange",0.528349477
"ADC_log-sigma-4-0-mm-3D_firstorder_Kurtosis",2.406836241
"ADC_log-sigma-4-0-mm-3D_firstorder_Maximum",0.657758951
"ADC_log-sigma-4-0-mm-3D_firstorder_MeanAbsoluteDeviation",0.296354405
"ADC_log-sigma-4-0-mm-3D_firstorder_Mean",-0.252759895
"ADC_log-sigma-4-0-mm-3D_firstorder_Median",-0.253634557
"ADC_log-sigma-4-0-mm-3D_firstorder_Minimum",-1.167840958
"ADC_log-sigma-4-0-mm-3D_firstorder_Range",1.825599909
"ADC_log-sigma-4-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation",0.21832801
"ADC_log-sigma-4-0-mm-3D_firstorder_RootMeanSquared",0.438290319
"ADC_log-sigma-4-0-mm-3D_firstorder_Skewness",-0.059301944
"ADC_log-sigma-4-0-mm-3D_firstorder_TotalEnergy",3628.354647
"ADC_log-sigma-4-0-mm-3D_firstorder_Uniformity",0.605058989
"ADC_log-sigma-4-0-mm-3D_firstorder_Variance",0.128210839
"ADC_log-sigma-4-0-mm-3D_glcm_Autocorrelation",1.666830985
"ADC_log-sigma-4-0-mm-3D_glcm_JointAverage",1.235703738
"ADC_log-sigma-4-0-mm-3D_glcm_ClusterProminence",1.106344921
"ADC_log-sigma-4-0-mm-3D_glcm_ClusterShade",0.632259143
"ADC_log-sigma-4-0-mm-3D_glcm_ClusterTendency",0.639683751
"ADC_log-sigma-4-0-mm-3D_glcm_Contrast",0.080560457
"ADC_log-sigma-4-0-mm-3D_glcm_Correlation",0.775208345
"ADC_log-sigma-4-0-mm-3D_glcm_DifferenceAverage",0.080560457
"ADC_log-sigma-4-0-mm-3D_glcm_DifferenceEntropy",0.401160525
"ADC_log-sigma-4-0-mm-3D_glcm_DifferenceVariance",0.073774149
